# Generated by tools/schema_codegen.nim; do not edit by hand.
# source_commit	2c0a5ddffb9c9cf9b3a8826454758397a6b4804b
method	path	operation_id	request_schema	response_schema
GET	/applications/@me	get_my_application	-	PrivateApplicationResponse
PATCH	/applications/@me	update_my_application	ApplicationFormPartial	PrivateApplicationResponse
GET	/applications/{application_id}	get_application	-	PrivateApplicationResponse
PATCH	/applications/{application_id}	update_application	ApplicationFormPartial	PrivateApplicationResponse
GET	/applications/{application_id}/activity-instances/{instance_id}	applications_get_activity_instance	-	EmbeddedActivityInstance
POST	/applications/{application_id}/attachment	upload_application_attachment	object	ActivitiesAttachmentResponse
GET	/applications/{application_id}/commands	list_application_commands	-	seq[ApplicationCommandResponse] | null
POST	/applications/{application_id}/commands	create_application_command	ApplicationCommandCreateRequest	ApplicationCommandResponse
PUT	/applications/{application_id}/commands	bulk_set_application_commands	seq[ApplicationCommandUpdateRequest] | null	seq[ApplicationCommandResponse] | null
GET	/applications/{application_id}/commands/{command_id}	get_application_command	-	ApplicationCommandResponse
PATCH	/applications/{application_id}/commands/{command_id}	update_application_command	ApplicationCommandPatchRequestPartial	ApplicationCommandResponse
DELETE	/applications/{application_id}/commands/{command_id}	delete_application_command	-	-
GET	/applications/{application_id}/emojis	list_application_emojis	-	ListApplicationEmojisResponse
POST	/applications/{application_id}/emojis	create_application_emoji	object	EmojiResponse
GET	/applications/{application_id}/emojis/{emoji_id}	get_application_emoji	-	EmojiResponse
PATCH	/applications/{application_id}/emojis/{emoji_id}	update_application_emoji	object	EmojiResponse
DELETE	/applications/{application_id}/emojis/{emoji_id}	delete_application_emoji	-	-
GET	/applications/{application_id}/entitlements	get_entitlements	-	seq[EntitlementResponse]
POST	/applications/{application_id}/entitlements	create_entitlement	CreateEntitlementRequestData	EntitlementResponse
GET	/applications/{application_id}/entitlements/{entitlement_id}	get_entitlement	-	EntitlementResponse
DELETE	/applications/{application_id}/entitlements/{entitlement_id}	delete_entitlement	-	-
POST	/applications/{application_id}/entitlements/{entitlement_id}/consume	consume_entitlement	-	-
GET	/applications/{application_id}/guilds/{guild_id}/commands	list_guild_application_commands	-	seq[ApplicationCommandResponse] | null
POST	/applications/{application_id}/guilds/{guild_id}/commands	create_guild_application_command	ApplicationCommandCreateRequest	ApplicationCommandResponse
PUT	/applications/{application_id}/guilds/{guild_id}/commands	bulk_set_guild_application_commands	seq[ApplicationCommandUpdateRequest] | null	seq[ApplicationCommandResponse] | null
GET	/applications/{application_id}/guilds/{guild_id}/commands/permissions	list_guild_application_command_permissions	-	seq[CommandPermissionsResponse]
GET	/applications/{application_id}/guilds/{guild_id}/commands/{command_id}	get_guild_application_command	-	ApplicationCommandResponse
PATCH	/applications/{application_id}/guilds/{guild_id}/commands/{command_id}	update_guild_application_command	ApplicationCommandPatchRequestPartial	ApplicationCommandResponse
DELETE	/applications/{application_id}/guilds/{guild_id}/commands/{command_id}	delete_guild_application_command	-	-
GET	/applications/{application_id}/guilds/{guild_id}/commands/{command_id}/permissions	get_guild_application_command_permissions	-	CommandPermissionsResponse
PUT	/applications/{application_id}/guilds/{guild_id}/commands/{command_id}/permissions	set_guild_application_command_permissions	object	CommandPermissionsResponse
GET	/applications/{application_id}/role-connections/metadata	get_application_role_connections_metadata	-	seq[ApplicationRoleConnectionsMetadataItemResponse] | null
PUT	/applications/{application_id}/role-connections/metadata	update_application_role_connections_metadata	seq[ApplicationRoleConnectionsMetadataItemRequest] | null	seq[ApplicationRoleConnectionsMetadataItemResponse] | null
GET	/channels/{channel_id}	get_channel	-	GuildChannelResponse | PrivateChannelResponse | PrivateGroupChannelResponse | ThreadResponse
